Name,Density (kg/m3),Average σ (MPa),Average (mW/(m·K))
SDS-1 with SDS without Dodecyl alcohol without PVA,761.458,0.569,353.333
SDS-2 with SDS with Dodecyl alcohol without PVA,560.677,0.181,283.667
SDS-3 with SDS without Dodecyl alcohol with PVA,916.875,1.364,472.867
SDS-4 with SDS with Dodecyl alcohol with PVA,783.229,3.824,380.3
C-1 with SDS without Dodecyl alcohol without PVA,714.583,1.7,337.867
C-2 with SDS with Dodecyl alcohol without PVA,728.646,1.147,422.4
C-3 with SDS without Dodecyl alcohol with PVA,752.604,3.352,370.6
C-4 with SDS with Dodecyl alcohol with PVA,789.063,2.709,403.367
N-1 with SDS without Dodecyl alcohol without PVA,778.125,1.2,399.467
N-2 with SDS with Dodecyl alcohol without PVA,874.896,2.745,413.4
N-3 with SDS without Dodecyl alcohol with PVA,1001.094,0.275,440.533
N-4 with SDS with Dodecyl alcohol with PVA,816.563,1.083,343.433
